Date;MTCM
02.01.2024;4,968
03.01.2024;4,826
04.01.2024;4,864
05.01.2024;4,844
08.01.2024;4,868
09.01.2024;4,85
10.01.2024;4,828
11.01.2024;4,792
12.01.2024;4,968
15.01.2024;4,92
16.01.2024;4,896
17.01.2024;4,896
18.01.2024;4,868
19.01.2024;4,796
22.01.2024;4,804
23.01.2024;4,754
24.01.2024;4,848
25.01.2024;4,888
26.01.2024;4,898
29.01.2024;4,818
30.01.2024;4,836
31.01.2024;4,822
01.02.2024;4,82
02.02.2024;4,75
05.02.2024;4,682
06.02.2024;4,732
07.02.2024;4,646
08.02.2024;4,75
09.02.2024;4,796
12.02.2024;4,84
13.02.2024;4,872
14.02.2024;4,818
15.02.2024;4,762
16.02.2024;4,762
19.02.2024;4,822
20.02.2024;4,838
21.02.2024;5,01
22.02.2024;5,13
23.02.2024;5,035
26.02.2024;5,13
27.02.2024;5,155
28.02.2024;5,14
29.02.2024;5,3
01.03.2024;5,32
04.03.2024;5,465
05.03.2024;6,11
06.03.2024;6,445
07.03.2024;6,755
08.03.2024;6,865
11.03.2024;6,905
12.03.2024;7,01
13.03.2024;6,965
14.03.2024;7,09
15.03.2024;6,975
18.03.2024;6,965
19.03.2024;7,13
20.03.2024;7,225
21.03.2024;7,15
22.03.2024;7,26
25.03.2024;7,36
26.03.2024;7,21
27.03.2024;7,26
28.03.2024;7,265
02.04.2024;7,555
03.04.2024;7,845
04.04.2024;7,61
05.04.2024;7,655
08.04.2024;7,735
09.04.2024;7,755
10.04.2024;7,775
11.04.2024;7,43
12.04.2024;7,585
15.04.2024;7,715
16.04.2024;7,61
17.04.2024;7,675
18.04.2024;7,765
19.04.2024;7,555
22.04.2024;7,185
23.04.2024;7,33
24.04.2024;7,41
25.04.2024;7,47
26.04.2024;7,73
29.04.2024;7,83
30.04.2024;7,79
02.05.2024;7,475
03.05.2024;7,49
06.05.2024;7,64
07.05.2024;7,66
08.05.2024;7,19
09.05.2024;7,295
10.05.2024;7,345
13.05.2024;7,485
14.05.2024;7,435
15.05.2024;7,4
16.05.2024;7,37
17.05.2024;7,3
20.05.2024;7,36
21.05.2024;7,42
22.05.2024;7,61
23.05.2024;7,825
24.05.2024;8,085
27.05.2024;8,13
28.05.2024;7,98
29.05.2024;7,58
30.05.2024;7,6
31.05.2024;7,565
03.06.2024;7,425
04.06.2024;7,35
05.06.2024;7,385
06.06.2024;7,465
07.06.2024;7,305
10.06.2024;7,31
11.06.2024;7,025
12.06.2024;7,225
13.06.2024;7,08
14.06.2024;6,975
17.06.2024;6,945
18.06.2024;7,23
19.06.2024;7,205
20.06.2024;7,315
21.06.2024;7,215
24.06.2024;7,335
25.06.2024;7,285
26.06.2024;7,25
27.06.2024;7,44
28.06.2024;7,74
01.07.2024;7,53
02.07.2024;7,415
03.07.2024;7,545
04.07.2024;7,54
05.07.2024;7,5
08.07.2024;7,39
09.07.2024;7,285
10.07.2024;7,355
11.07.2024;7,385
12.07.2024;7,535
15.07.2024;7,55
16.07.2024;7,785
17.07.2024;7,725
18.07.2024;7,95
19.07.2024;7,96
22.07.2024;8,025
23.07.2024;8,14
24.07.2024;8
25.07.2024;7,73
26.07.2024;7,785
29.07.2024;7,66
30.07.2024;7,66
31.07.2024;7,34
01.08.2024;7,165
02.08.2024;6,98
05.08.2024;6,87
06.08.2024;7,025
07.08.2024;7,13
08.08.2024;7,085
09.08.2024;7,075
12.08.2024;7,15
13.08.2024;7,215
14.08.2024;7,21
16.08.2024;7,395
19.08.2024;7,325
20.08.2024;7,25
21.08.2024;7,35
22.08.2024;7,33
23.08.2024;7,38
26.08.2024;7,23
27.08.2024;7,2
28.08.2024;7,78
29.08.2024;7,75
30.08.2024;7,85
02.09.2024;7,67
03.09.2024;7,49
04.09.2024;7,515
05.09.2024;7,44
06.09.2024;7,37
09.09.2024;7,515
10.09.2024;7,435
11.09.2024;7,4
12.09.2024;7,445
13.09.2024;7,35
16.09.2024;7,36
17.09.2024;7,395
18.09.2024;7,33
19.09.2024;7,46
20.09.2024;7,43
23.09.2024;7,535
24.09.2024;7,61
25.09.2024;7,43
26.09.2024;7,33
27.09.2024;7,37
30.09.2024;7,42
01.10.2024;7,3
02.10.2024;7,215
03.10.2024;7,2
04.10.2024;7,22
07.10.2024;7,22
08.10.2024;7,24
09.10.2024;7,125
10.10.2024;7,305
11.10.2024;7,51
14.10.2024;7,465
15.10.2024;7,48
16.10.2024;7,99
17.10.2024;7,63
18.10.2024;7,535
21.10.2024;7,485
22.10.2024;7,36
23.10.2024;7,27
24.10.2024;7,19
25.10.2024;6,59
28.10.2024;6,695
29.10.2024;6,625
30.10.2024;6,855
31.10.2024;6,945
01.11.2024;7,035
04.11.2024;6,91
05.11.2024;6,935
06.11.2024;6,995
07.11.2024;7,11
08.11.2024;7,135
11.11.2024;7,125
12.11.2024;6,985
13.11.2024;7,15
14.11.2024;7,17
15.11.2024;7,055
18.11.2024;7,15
19.11.2024;7,15
20.11.2024;7,195
21.11.2024;7,205
22.11.2024;7,2
25.11.2024;7,185
26.11.2024;7,105
27.11.2024;7,1
28.11.2024;7,2
29.11.2024;7,245
02.12.2024;7,245
03.12.2024;7,26
04.12.2024;7,72
05.12.2024;7,78
06.12.2024;7,77
09.12.2024;7,79
10.12.2024;7,695
11.12.2024;7,9
12.12.2024;7,955
13.12.2024;7,955
16.12.2024;7,99
17.12.2024;7,8
18.12.2024;8,04
19.12.2024;7,935
20.12.2024;8,135
23.12.2024;8,2
27.12.2024;8,27
30.12.2024;8,26
02.01.2025;8,415
03.01.2025;8,555
06.01.2025;8,525
07.01.2025;8,54
08.01.2025;8,795
09.01.2025;8,84
10.01.2025;8,735
13.01.2025;8,72
14.01.2025;8,715
15.01.2025;8,72
16.01.2025;8,87
17.01.2025;9,72
20.01.2025;9,61
21.01.2025;9,675
22.01.2025;9,66
