Date,OLIDATA
02-01-2024,0.55
03-01-2024,0.54
04-01-2024,0.54
05-01-2024,0.545
08-01-2024,0.545
09-01-2024,0.535
10-01-2024,0.525
11-01-2024,0.52
12-01-2024,0.52
15-01-2024,0.525
16-01-2024,0.52
17-01-2024,0.52
18-01-2024,0.515
19-01-2024,0.515
22-01-2024,0.52
23-01-2024,0.68
24-01-2024,0.705
25-01-2024,0.73
26-01-2024,0.71
29-01-2024,0.7
30-01-2024,0.665
31-01-2024,0.665
01-02-2024,0.635
02-02-2024,0.635
05-02-2024,0.625
06-02-2024,0.655
07-02-2024,0.635
08-02-2024,0.635
09-02-2024,0.615
12-02-2024,0.61
13-02-2024,0.615
14-02-2024,0.66
15-02-2024,0.635
16-02-2024,0.645
19-02-2024,0.655
20-02-2024,0.64
21-02-2024,0.635
22-02-2024,0.66
23-02-2024,0.655
26-02-2024,0.66
27-02-2024,0.66
28-02-2024,0.655
29-02-2024,0.64
01-03-2024,0.645
04-03-2024,0.64
05-03-2024,0.64
06-03-2024,0.635
07-03-2024,0.625
08-03-2024,0.615
11-03-2024,0.6
12-03-2024,0.595
13-03-2024,0.63
14-03-2024,0.61
15-03-2024,0.605
18-03-2024,0.6
19-03-2024,0.605
20-03-2024,0.61
21-03-2024,0.605
22-03-2024,0.605
25-03-2024,0.62
26-03-2024,0.625
27-03-2024,0.66
28-03-2024,0.64
02-04-2024,0.646
03-04-2024,0.653
04-04-2024,0.638
05-04-2024,0.63
08-04-2024,0.635
09-04-2024,0.628
10-04-2024,0.625
11-04-2024,0.621
12-04-2024,0.61
15-04-2024,0.629
16-04-2024,0.609
17-04-2024,0.614
18-04-2024,0.613
19-04-2024,0.613
22-04-2024,0.62
23-04-2024,0.627
24-04-2024,0.625
25-04-2024,0.62
26-04-2024,0.628
29-04-2024,0.625
30-04-2024,0.623
02-05-2024,0.62
03-05-2024,0.615
06-05-2024,0.628
07-05-2024,0.623
08-05-2024,0.61
09-05-2024,0.624
10-05-2024,0.618
13-05-2024,0.625
14-05-2024,0.635
15-05-2024,0.625
16-05-2024,0.625
17-05-2024,0.618
20-05-2024,0.614
21-05-2024,0.61
22-05-2024,0.605
23-05-2024,0.609
24-05-2024,0.602
27-05-2024,0.604
28-05-2024,0.605
29-05-2024,0.614
30-05-2024,0.614
31-05-2024,0.604
03-06-2024,0.601
04-06-2024,0.599
05-06-2024,0.597
06-06-2024,0.605
07-06-2024,0.604
10-06-2024,0.6
11-06-2024,0.585
12-06-2024,0.574
13-06-2024,0.586
14-06-2024,0.57
17-06-2024,0.571
18-06-2024,0.582
19-06-2024,0.58
20-06-2024,0.583
21-06-2024,0.578
24-06-2024,0.594
25-06-2024,0.609
26-06-2024,0.61
27-06-2024,0.618
28-06-2024,0.599
01-07-2024,0.606
02-07-2024,0.601
03-07-2024,0.6
04-07-2024,0.598
05-07-2024,0.598
08-07-2024,0.59
09-07-2024,0.584
10-07-2024,0.577
11-07-2024,0.576
12-07-2024,0.58
15-07-2024,0.581
16-07-2024,0.579
17-07-2024,0.559
18-07-2024,0.56
19-07-2024,0.555
22-07-2024,0.564
23-07-2024,0.548
24-07-2024,0.552
25-07-2024,0.538
26-07-2024,0.536
29-07-2024,0.531
30-07-2024,0.53
31-07-2024,0.534
01-08-2024,0.527
02-08-2024,0.522
05-08-2024,0.4915
06-08-2024,0.502
07-08-2024,0.512
08-08-2024,0.505
09-08-2024,0.503
12-08-2024,0.4975
13-08-2024,0.4955
14-08-2024,0.497
16-08-2024,0.496
19-08-2024,0.5
20-08-2024,0.496
21-08-2024,0.492
22-08-2024,0.4955
23-08-2024,0.4975
26-08-2024,0.4925
27-08-2024,0.495
28-08-2024,0.496
29-08-2024,0.588
30-08-2024,0.571
02-09-2024,0.56
03-09-2024,0.528
04-09-2024,0.572
05-09-2024,0.585
06-09-2024,0.562
09-09-2024,0.571
10-09-2024,0.563
11-09-2024,0.561
12-09-2024,0.565
13-09-2024,0.568
16-09-2024,0.549
17-09-2024,0.54
18-09-2024,0.534
19-09-2024,0.536
20-09-2024,0.534
23-09-2024,0.561
24-09-2024,0.57
25-09-2024,0.593
26-09-2024,0.585
27-09-2024,0.579
30-09-2024,0.57
01-10-2024,0.557
02-10-2024,0.566
03-10-2024,0.551
04-10-2024,0.55
07-10-2024,0.54
08-10-2024,0.55
09-10-2024,0.54
10-10-2024,0.54
11-10-2024,0.539
14-10-2024,0.54
15-10-2024,0.468
16-10-2024,0.466
17-10-2024,0.46
18-10-2024,0.41
21-10-2024,0.42
22-10-2024,0.418
23-10-2024,0.39
24-10-2024,0.3305
25-10-2024,0.305
28-10-2024,0.3065
29-10-2024,0.32
30-10-2024,0.32
31-10-2024,0.308
01-11-2024,0.309
04-11-2024,0.3045
05-11-2024,0.319
06-11-2024,0.3255
07-11-2024,0.315
08-11-2024,0.31
11-11-2024,0.3155
12-11-2024,0.321
13-11-2024,0.31
14-11-2024,0.307
15-11-2024,0.303
18-11-2024,0.305
19-11-2024,0.302
20-11-2024,0.3015
21-11-2024,0.3
22-11-2024,0.2985
25-11-2024,0.2965
26-11-2024,0.305
27-11-2024,0.34
28-11-2024,0.3465
29-11-2024,0.339
02-12-2024,0.332
03-12-2024,0.3315
04-12-2024,0.348
05-12-2024,0.346
06-12-2024,0.3435
09-12-2024,0.353
10-12-2024,0.37
11-12-2024,0.359
12-12-2024,0.3565
13-12-2024,0.3505
16-12-2024,0.3435
17-12-2024,0.329
18-12-2024,0.324
19-12-2024,0.319
20-12-2024,0.3155
23-12-2024,0.315
27-12-2024,0.317
30-12-2024,0.321
02-01-2025,0.314
03-01-2025,0.313
06-01-2025,0.312
07-01-2025,0.312
08-01-2025,0.313
09-01-2025,0.317
10-01-2025,0.31
13-01-2025,0.305
14-01-2025,0.295
15-01-2025,0.294
16-01-2025,0.2935
17-01-2025,0.293
20-01-2025,0.2835
21-01-2025,0.26
22-01-2025,0.2495
