Date;STLAM
02.01.2024;21,175
03.01.2024;20,45
04.01.2024;20,425
05.01.2024;20,51
08.01.2024;20,67
09.01.2024;20,555
10.01.2024;20,78
11.01.2024;20,61
12.01.2024;20,455
15.01.2024;20,135
16.01.2024;19,916
17.01.2024;19,638
18.01.2024;19,838
19.01.2024;19,67
22.01.2024;19,7
23.01.2024;19,566
24.01.2024;19,564
25.01.2024;19,422
26.01.2024;19,524
29.01.2024;19,474
30.01.2024;20,22
31.01.2024;20,495
01.02.2024;20,77
02.02.2024;21,25
05.02.2024;21,075
06.02.2024;21,45
07.02.2024;21,675
08.02.2024;22,135
09.02.2024;22,465
12.02.2024;22,64
13.02.2024;22,39
14.02.2024;22,575
15.02.2024;23,87
16.02.2024;23,775
19.02.2024;23,615
20.02.2024;23,4
21.02.2024;23,54
22.02.2024;24,23
23.02.2024;24,61
26.02.2024;24,305
27.02.2024;24,245
28.02.2024;24,365
29.02.2024;24,135
01.03.2024;24,435
04.03.2024;24,625
05.03.2024;24,73
06.03.2024;25
07.03.2024;25,18
08.03.2024;25,105
11.03.2024;25,295
12.03.2024;25,765
13.03.2024;25,435
14.03.2024;25,37
15.03.2024;26,03
18.03.2024;26,15
19.03.2024;26,61
20.03.2024;26,66
21.03.2024;26,915
22.03.2024;26,935
25.03.2024;27,155
26.03.2024;26,58
27.03.2024;26,685
28.03.2024;26,345
02.04.2024;25,48
03.04.2024;25,015
04.04.2024;25,05
05.04.2024;24,6
08.04.2024;24,895
09.04.2024;25,075
10.04.2024;25,23
11.04.2024;25,21
12.04.2024;24,385
15.04.2024;24,995
16.04.2024;24,25
17.04.2024;24,27
18.04.2024;24,35
19.04.2024;24,23
22.04.2024;23,135
23.04.2024;23,305
24.04.2024;23,275
25.04.2024;22,89
26.04.2024;23,045
29.04.2024;23,225
30.04.2024;20,88
02.05.2024;19,98
03.05.2024;20,33
06.05.2024;20,23
07.05.2024;20,2
08.05.2024;19,8
09.05.2024;20,23
10.05.2024;20,28
13.05.2024;21,03
14.05.2024;21,47
15.05.2024;21,375
16.05.2024;21,17
17.05.2024;20,79
20.05.2024;20,675
21.05.2024;20,435
22.05.2024;20,395
23.05.2024;20,36
24.05.2024;20,55
27.05.2024;20,855
28.05.2024;20,7
29.05.2024;20,33
30.05.2024;20,475
31.05.2024;20,2
03.06.2024;20,14
04.06.2024;19,926
05.06.2024;20,18
06.06.2024;20,31
07.06.2024;20,19
10.06.2024;20,255
11.06.2024;20,075
12.06.2024;20,22
13.06.2024;19,66
14.06.2024;18,82
17.06.2024;18,984
18.06.2024;19,026
19.06.2024;18,98
20.06.2024;19,074
21.06.2024;19,032
24.06.2024;19,386
25.06.2024;19,37
26.06.2024;19,342
27.06.2024;18,544
28.06.2024;18,47
01.07.2024;18,634
02.07.2024;18,208
03.07.2024;18,316
04.07.2024;18,298
05.07.2024;18,108
08.07.2024;18,02
09.07.2024;18,068
10.07.2024;18,48
11.07.2024;18,564
12.07.2024;18,64
15.07.2024;18,656
16.07.2024;18,492
17.07.2024;18,658
18.07.2024;19,006
19.07.2024;18,584
22.07.2024;18,814
23.07.2024;18,378
24.07.2024;18,26
25.07.2024;16,674
26.07.2024;16,166
29.07.2024;15,628
30.07.2024;15,486
31.07.2024;15,404
01.08.2024;15,19
02.08.2024;14,684
05.08.2024;14,304
06.08.2024;14,17
07.08.2024;14,238
08.08.2024;14,238
09.08.2024;14,064
12.08.2024;13,98
13.08.2024;13,878
14.08.2024;14,096
16.08.2024;14,366
19.08.2024;14,732
20.08.2024;14,734
21.08.2024;14,878
22.08.2024;14,736
23.08.2024;14,966
26.08.2024;14,934
27.08.2024;15,02
28.08.2024;14,988
29.08.2024;15,146
30.08.2024;15,138
02.09.2024;15,02
03.09.2024;14,606
04.09.2024;14,534
05.09.2024;14,294
06.09.2024;14,06
09.09.2024;14,064
10.09.2024;13,68
11.09.2024;13,62
12.09.2024;13,512
13.09.2024;13,614
16.09.2024;13,59
17.09.2024;13,642
18.09.2024;13,664
19.09.2024;13,95
20.09.2024;13,47
23.09.2024;13,778
24.09.2024;13,994
25.09.2024;13,784
26.09.2024;13,992
27.09.2024;14,55
30.09.2024;12,408
01.10.2024;12,428
02.10.2024;12,408
03.10.2024;11,912
04.10.2024;12,12
07.10.2024;12,214
08.10.2024;11,988
09.10.2024;12,22
10.10.2024;12,194
11.10.2024;11,856
14.10.2024;12,042
15.10.2024;12,002
16.10.2024;12,01
17.10.2024;11,956
18.10.2024;12,184
21.10.2024;11,926
22.10.2024;12,02
23.10.2024;12,38
24.10.2024;12,56
25.10.2024;12,672
28.10.2024;12,704
29.10.2024;12,398
30.10.2024;12,238
31.10.2024;12,596
01.11.2024;12,724
04.11.2024;12,608
05.11.2024;12,65
06.11.2024;12,872
07.11.2024;13,02
08.11.2024;12,538
11.11.2024;12,762
12.11.2024;12,54
13.11.2024;12,46
14.11.2024;12,792
15.11.2024;12,702
18.11.2024;12,656
19.11.2024;12,388
20.11.2024;12,208
21.11.2024;12,17
22.11.2024;12,514
25.11.2024;12,814
26.11.2024;12,2
27.11.2024;12,136
28.11.2024;12,35
29.11.2024;12,536
02.12.2024;11,746
03.12.2024;11,934
04.12.2024;12,09
05.12.2024;12,548
06.12.2024;12,948
09.12.2024;13,146
10.12.2024;13,274
11.12.2024;13,194
12.12.2024;13,208
13.12.2024;13,348
16.12.2024;12,73
17.12.2024;12,758
18.12.2024;12,744
19.12.2024;12,362
20.12.2024;12,378
23.12.2024;12,342
27.12.2024;12,596
30.12.2024;12,59
02.01.2025;12,62
03.01.2025;12,176
06.01.2025;12,652
07.01.2025;12,788
08.01.2025;12,45
09.01.2025;12,42
10.01.2025;12,276
13.01.2025;12,04
14.01.2025;12,1
15.01.2025;12,33
16.01.2025;12,208
17.01.2025;12,55
20.01.2025;12,848
21.01.2025;12,652
22.01.2025;12,7
