Date,SPMI
2024-24-01,14.875
2024-24-01,14.89
2024-24-01,15.37
2024-24-01,15.67
2024-24-01,15.065
2024-24-01,14.715
2024-24-01,14.45
2024-24-01,14.08
2024-24-01,14.47
2024-24-01,14.16
2024-24-01,14.405
2024-24-01,14.4
2024-24-01,14.335
2024-24-01,14.26
2024-24-01,14.37
2024-24-01,14.78
2024-24-01,15.22
2024-24-01,15.175
2024-24-01,15.08
2024-24-01,15.175
2024-24-01,13.245
2024-24-01,13.34
2024-24-02,13.37
2024-24-02,13.14
2024-24-02,12.88
2024-24-02,13.01
2024-24-02,12.595
2024-24-02,12.62
2024-24-02,12.59
2024-24-02,13.33
2024-24-02,13.545
2024-24-02,13.47
2024-24-02,13.71
2024-24-02,13.75
2024-24-02,13.905
2024-24-02,13.665
2024-24-02,13.81
2024-24-02,14.06
2024-24-02,14.015
2024-24-02,14.32
2024-24-02,14.93
2024-24-02,14.835
2024-24-02,16.81
2024-24-03,18.215
2024-24-03,19.1
2024-24-03,19.79
2024-24-03,19.35
2024-24-03,19.725
2024-24-03,19.985
2024-24-03,19.765
2024-24-03,19.98
2024-24-03,19.785
2024-24-03,20.68
2024-24-03,21.05
2024-24-03,21.12
2024-24-03,20.87
2024-24-03,21.09
2024-24-03,20.71
2024-24-03,20.25
2024-24-03,21.48
2024-24-03,22.48
2024-24-03,21.94
2024-24-03,22.62
2024-24-04,23.04
2024-24-04,22.92
2024-24-04,22.53
2024-24-04,22.33
2024-24-04,22.54
2024-24-04,22.55
2024-24-04,23.11
2024-24-04,23.24
2024-24-04,24.15
2024-24-04,23.97
2024-24-04,23.4
2024-24-04,23.32
2024-24-04,22.88
2024-24-04,22.4
2024-24-04,22.22
2024-24-04,22.56
2024-24-04,21.81
2024-24-04,21.43
2024-24-04,21.87
2024-24-04,22.14
2024-24-04,21.64
2024-24-05,21.92
2024-24-05,21.47
2024-24-05,21.79
2024-24-05,21.6
2024-24-05,21.13
2024-24-05,21.48
2024-24-05,21.57
2024-24-05,21.31
2024-24-05,21.97
2024-24-05,21.98
2024-24-05,22.12
2024-24-05,22.74
2024-24-05,22.82
2024-24-05,23.73
2024-24-05,23.31
2024-24-05,23.13
2024-24-05,23.00
2024-24-05,23.82
2024-24-05,23.73
2024-24-05,22.94
2024-24-05,23.25
2024-24-05,22.86
2024-24-06,22.33
2024-24-06,21.37
2024-24-06,21.53
2024-24-06,21.56
2024-24-06,21.71
2024-24-06,21.54
2024-24-06,20.65
2024-24-06,21.02
2024-24-06,20.3
2024-24-06,20.24
2024-24-06,20.19
2024-24-06,20.9
2024-24-06,20.9
2024-24-06,21.29
2024-24-06,21.54
2024-24-06,21.59
2024-24-06,22.37
2024-24-06,22.9
2024-24-06,23.63
2024-24-06,23.92
2024-24-07,23.98
2024-24-07,24.04
2024-24-07,23.36
2024-24-07,23.23
2024-24-07,23.25
2024-24-07,22.7
2024-24-07,22.34
2024-24-07,23.28
2024-24-07,23.17
2024-24-07,23.54
2024-24-07,24.03
2024-24-07,23.68
2024-24-07,23.84
2024-24-07,24.08
2024-24-07,23.67
2024-24-07,23.89
2024-24-07,24.19
2024-24-07,23.00
2024-24-07,23.25
2024-24-07,22.28
2024-24-07,21.98
2024-24-07,21.85
2024-24-07,21.97
2024-24-08,21.79
2024-24-08,20.62
2024-24-08,19.71
2024-24-08,19.65
2024-24-08,20.13
2024-24-08,19.85
2024-24-08,19.8
2024-24-08,19.925
2024-24-08,19.845
2024-24-08,19.88
2024-24-08,20.2
2024-24-08,20.61
2024-24-08,20.02
2024-24-08,20.69
2024-24-08,20.62
2024-24-08,20.74
2024-24-08,20.72
2024-24-08,20.38
2024-24-08,20.16
2024-24-08,20.46
2024-24-08,20.3
2024-24-09,20.23
2024-24-09,18.8
2024-24-09,19.22
2024-24-09,18.945
2024-24-09,18.68
2024-24-09,18.825
2024-24-09,17.97
2024-24-09,18.27
2024-24-09,18.505
2024-24-09,18.635
2024-24-09,19.555
2024-24-09,19.545
2024-24-09,20.09
2024-24-09,20.85
2024-24-09,20.24
2024-24-09,20.34
2024-24-09,20.62
2024-24-09,20.36
2024-24-09,19.2
2024-24-09,19.475
2024-24-09,19.785
2024-24-10,20.00
2024-24-10,20.33
2024-24-10,19.6
2024-24-10,20.44
2024-24-10,20.57
2024-24-10,20.06
2024-24-10,20.1
2024-24-10,20.23
2024-24-10,20.31
2024-24-10,20.26
2024-24-10,19.745
2024-24-10,20.12
2024-24-10,20.62
2024-24-10,19.915
2024-24-10,20.18
2024-24-10,20.65
2024-24-10,20.28
2024-24-10,21.22
2024-24-10,21.89
2024-24-10,21.88
2024-24-10,21.63
2024-24-10,21.67
2024-24-10,21.84
2024-24-11,22.22
2024-24-11,22.22
2024-24-11,22.38
2024-24-11,22.49
2024-24-11,22.75
2024-24-11,23.24
2024-24-11,23.55
2024-24-11,23.18
2024-24-11,23.05
2024-24-11,23.17
2024-24-11,23.33
2024-24-11,23.68
2024-24-11,23.42
2024-24-11,23.27
2024-24-11,23.71
2024-24-11,24.03
2024-24-11,23.75
2024-24-11,24.05
2024-24-11,24.31
2024-24-11,24.26
2024-24-11,24.41
2024-24-12,24.35
2024-24-12,25.04
2024-24-12,25.46
2024-24-12,25.42
2024-24-12,24.9
2024-24-12,25.02
2024-24-12,24.87
2024-24-12,25.51
2024-24-12,25.69
2024-24-12,25.74
2024-24-12,26.00
2024-24-12,25.45
2024-24-12,25.55
2024-24-12,26.43
2024-24-12,24.82
2024-24-12,24.82
2024-24-12,25.11
2024-24-12,25.09
2025-25-01,26.62
2025-25-01,27.2
2025-25-01,27.48
2025-25-01,27.25
2025-25-01,27.16
2025-25-01,27.54
2025-25-01,27.3
2025-25-01,27.31
2025-25-01,27.29
2025-25-01,25.96
2025-25-01,25.71
2025-25-01,25.56
